epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,32605.8,0.02917,0.70805,0.88332,0.70844,0.74864,0.80134,0.80134,0.0539,0.8472,0.19036,0.000110089,0.000110089,0.000110089
91,32965.1,0.02425,0.16283,0.89725,0.70542,0.75192,0.80069,0.80069,0.05379,0.84903,0.19017,0.00010009,0.00010009,0.00010009
92,33318.8,0.02139,0.12763,0.89864,0.70398,0.7537,0.80026,0.80026,0.05375,0.85131,0.19002,9.0091e-05,9.0091e-05,9.0091e-05
93,33671.1,0.02086,0.11624,0.89742,0.70408,0.75379,0.80024,0.80024,0.05371,0.85391,0.18991,8.0092e-05,8.0092e-05,8.0092e-05
94,34024.3,0.02059,0.11181,0.89553,0.70375,0.75455,0.79962,0.79962,0.05372,0.85585,0.1899,7.0093e-05,7.0093e-05,7.0093e-05
95,34377.1,0.02039,0.10278,0.89747,0.70617,0.74987,0.79938,0.79938,0.05367,0.85861,0.1898,6.0094e-05,6.0094e-05,6.0094e-05
96,34730.1,0.01995,0.10105,0.89268,0.70708,0.75053,0.79934,0.79934,0.05361,0.86151,0.18964,5.0095e-05,5.0095e-05,5.0095e-05
97,35081.5,0.01971,0.0966,0.89511,0.70766,0.74988,0.799,0.799,0.05364,0.86437,0.18962,4.0096e-05,4.0096e-05,4.0096e-05
98,35433.8,0.01976,0.09236,0.89689,0.70853,0.7485,0.79867,0.79867,0.05377,0.86714,0.1897,3.0097e-05,3.0097e-05,3.0097e-05
99,35786.5,0.01923,0.08707,0.89656,0.70865,0.74899,0.79836,0.79836,0.05388,0.86971,0.1897,2.0098e-05,2.0098e-05,2.0098e-05
100,36138.9,0.01918,0.08559,0.89682,0.71098,0.74815,0.79823,0.79823,0.05391,0.87241,0.18967,1.0099e-05,1.0099e-05,1.0099e-05
